to,from,symbol,value,origin,tx_hash,gas_used,block_hash,fiat_value,action_type,code_address,eth_usd_pair.price.value,eth_usd_pair.price.decimals,eth_usd_pair.timestamp,eth_usd_pair.aggregator_round_id,fiat_decimals,block_timestamp,gas_price,score_from,score_to
0x9a4e745c6c3e29427042043f404ed4092dd65963,0x28c6c06298d514db089934071355e5743bf21d60,AXS,215.7392,0x28c6c06298d514db089934071355e5743bf21d60,0x34190c075325bf4b134f290f1b4c9b317dd9e0a33eb1e822a32810e1a605e931,51617,0xbf10ca0354c317c8ae3070b95901e33c31325a40b8157b45b5dd54486846567d,3313202543884494400000000000000,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:15:06,293000000000,85,90
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0x4e327ccbfc9d4972d4663609e45fe2a8183ef005,AXS,3.080205399664202057,0x4e327ccbfc9d4972d4663609e45fe2a8183ef005,0x422a3e1e7dfe823084b9b57d356beb25ef4af860bc1db6c54e7d78164a062980,155529,0xbf10ca0354c317c8ae3070b95901e33c31325a40b8157b45b5dd54486846567d,47304079953268529910980385349,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:15:06,131267874388,64,76
0x941d5f53916c3d679e6ba4140d800c96e59aab7b,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,SLP,0.000000000000004662,0x941d5f53916c3d679e6ba4140d800c96e59aab7b,0x3456ca3a3e949c64289e6fc448f3619c24005b75bac4f6072518e6b0e3da6dc1,204139,0x3f1a4f067d656e7b211ad59872314fb542fbbc85fec3d73c096cb21d418eb11a,35927162208,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 2:20:55,110494826791,76,73
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0x37fba9a7af4e49d50311c0f0fee872e1dfc8a986,AXS,8.572655296171503246,0x37fba9a7af4e49d50311c0f0fee872e1dfc8a986,0x55c30254aea0ffe662808931e08a1f0197ca4bfbd739137a183ef67799c776ab,155529,0xf4c5cefa42ed4c8ad90126b361fbc18a22dd453776842cf21a8e520071afe39a,132051174406346885562123264078,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:22:17,110707444743,75,76
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0x3b3ff7e3a21815602a1062e43e390accf5fb5e7c,AXS,169.141742023677968228,0x3b3ff7e3a21815602a1062e43e390accf5fb5e7c,0xbaa2f332da97ed78f6045e79efa15e1a7126007abfd8f86f7408d33210d86ada,155541,0x874be7effd0065fe07a82c10af5d504da1dc0c31ca0bcae380951fce74410ff9,2605236228856592865920187913256,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:27:18,123447634608,67,76
0xe8f9fb8b85e4106f882a28ececc492330f90bc80,0x28c6c06298d514db089934071355e5743bf21d60,SLP,0.000000000000299816,0x28c6c06298d514db089934071355e5743bf21d60,0x82edd9db724cf9f85698854b05013796cf79ccfd7c589cb84f3261cf24ce8e3d,51547,0x2ef1c7809e66db1a2b4778a279fe68107f3cf7d36bce6222c7160fcdc3b2aad1,2306457804376,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 2:30:24,150000000000,85,75
0x28c6c06298d514db089934071355e5743bf21d60,0x3507e4978e0eb83315d20df86ca0b976c0e40ccb,AXS,2304.00,0x3507e4978e0eb83315d20df86ca0b976c0e40ccb,0xecfba8c89294eb9a32c9b5986b97f7e7380f4808c0c19b7929198597eeea0fea,29705,0xb220d8be32e23692c34d0b632451837b79f858c88a3aded7017d5791a34b32d7,"3,54106E+31",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:33:59,189000000000,83,85
0x28c6c06298d514db089934071355e5743bf21d60,0xc7f181f89c0681ddbb8f357d3f2c3cf1a42d75ee,AXS,340.00,0xc7f181f89c0681ddbb8f357d3f2c3cf1a42d75ee,0xd8e578773a5ba4a9698b753caff2c1ada7934e7366b47942aa73ff77607f4423,29717,0xb220d8be32e23692c34d0b632451837b79f858c88a3aded7017d5791a34b32d7,"5,22552E+30",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:33:59,189000000000,73,85
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0xd80548ca1058eea322dcdc740a0f322846aa25ec,AXS,46.389,0xd80548ca1058eea322dcdc740a0f322846aa25ec,0x360b19ed32cd2dabe2e5d229e83c2cf590d605261dae8f0d8cd89f62af6e2597,155529,0x159a09ed3615ebd17d37942664deb9b58c259cdd0aab535cc74180882e062e9e,"7,12961E+29",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:34:36,143000000000,84,76
0x28c6c06298d514db089934071355e5743bf21d60,0xdee103353bf682ce80b6a6f32ffe7669956d4daa,SLP,0.000000000000014681,0xdee103353bf682ce80b6a6f32ffe7669956d4daa,0x5c23fd9825960bce39d152fc739b1a6f8408689ba9628f039c827e0068e4567e,29635,0xc298838fb0707b74ae7cef5c96aba18c8a812b53d8b8569b162ceb9abdfb930a,112955746129,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 2:37:44,177000000000,61,85
0xf646248dd1d604ece0592e2b90e3e510b4117789,0x28c6c06298d514db089934071355e5743bf21d60,SLP,0.00000000000008167,0x28c6c06298d514db089934071355e5743bf21d60,0xd97b5b89d772cdf2463d3a8b8f81e2a307ec20f64063cdf6d089357718f2dd21,51547,0x1638fab9d8ed1950b9a6060dfada119a948e9a836e3124f12b0350ee55a999a6,62785935920,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,7,1636336600,469344760295,8,13582,08/11/2021 2:40:43,179000000000,85,75
0xf646248dd1d604ece0592e2b90e3e510b4117789,0x28c6c06298d514db089934071355e5743bf21d60,SLP,0.00000000000008167,0x28c6c06298d514db089934071355e5743bf21d60,0xd97b5b89d772cdf2463d3a8b8f81e2a307ec20f64063cdf6d089357718f2dd21,51547,0x47779a04baca3d4e5a5e243f0caf9260ea7e881a2dd4a1e2dd3e696af3146b41,62785935920,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,7,1636336600,469344760295,8,13582,08/11/2021 2:40:43,179000000000,85,75
0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0xefe586d55138561b1b3c329e4b117d9951a4275c,AXS,14.0799,0xefe586d55138561b1b3c329e4b117d9951a4275c,0xe44b4b2c1c96272ddc431637fb01644f890b11accafd091cee83408dd5f26b81,155505,0xd4e56a663870ed903907017c08f5eda7179287ec72887f059866bffaeb34b81a,215899838097577500000000000000,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:46:29,135237891817,67,76
0x585c46461dbddcde71da7eaf7663f98d1c616378,0x28c6c06298d514db089934071355e5743bf21d60,AXS,851.76,0x28c6c06298d514db089934071355e5743bf21d60,0xa13a76e2806be1cfab3894857ebfb3bd8636251411ae9b582ec7d867686794b0,34517,0x1e07d65313eca79fe6c5c88a68e1d271db41f30a21992d35551591c96689e570,13063482677437920000000000000000,LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:47:31,192000000000,85,81
0xeba895001cd841420beaf721a49b5a5ee60fc401,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,SLP,0.000000000000003247,0xeba895001cd841420beaf721a49b5a5ee60fc401,0x29964dbac9428740d23d91421b3c08a0fb9b4bb0343d76af27685bfb9a9f45f6,213005,0x28bd4f9f8e6e9c076454b7e781c23b90bec532d7e66ac628a4203ce9a8762d6e,24941755819,LOG3,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,8,1636336600,469344760295,8,13582,08/11/2021 2:52:10,117511619721,76,83
0x1de5b4286189a63748fa3948cd227f93274858c1,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,AXS,87.00,0x1de5b4286189a63748fa3948cd227f93274858c1,0x86a800fa8e3d653a1b5019710b436b638ebdd9d7342408d6d4bd50494eb864dd,213076,0x28bd4f9f8e6e9c076454b7e781c23b90bec532d7e66ac628a4203ce9a8762d6e,"1,33433E+30",LOG3,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,26,1636336600,469344760295,8,13582,08/11/2021 2:52:10,117511619721,76,82
